feature,importance_XGBoost,importance_LightGBM,importance_RandomForest,importance_HistGradientBoosting,mean_importance
ccheck_cycle_position,3.0423698,2.1048290844451554,0.11439062200594287,3.979191822082459,2.310195342765714
aircraft_age_months,1.0072457,0.9091456774752897,0.039818243688443805,0.5221117482641103,0.6195803323140074
months_to_next_ccheck,0.0,1.4680684802584214,0.08073473949265908,0.14115800681213708,0.42249030664080434
dust_aerosol_003_055_mixing_ratio__last6_mean,0.10477357,0.05567093026105129,0.0,0.22162199347048986,0.09551662432723629
total_parking_cumsum,0.1552413,0.1146302594490258,0.014417765660002453,0.08637935009770505,0.09266716772550955
avg_monthly_parking,0.05693456,0.02602138378331193,0.00616201160985336,0.262418345260267,0.08788407555846296
delivery_year,0.15736954,0.10247677379881863,0.007896975882753501,0.05631491965374348,0.08101455211924265
metar_relative_humidity__cumsum,0.07119316,0.08298715393141684,0.010541298143127731,0.14760196230861042,0.07808089325242784
dust_aerosol_003_055_mixing_ratio__park_wmean,0.026820185,0.09247771608709437,0.0,0.16426726249225146,0.070891290810571
metar_wind_speed_kn__cumsum,0.13771479,0.07198215288214904,0.015842103033270685,0.03681060612128112,0.0655874125885953
metar_visibility_mi__last6_mean,0.08569594,0.06769969039645998,0.0027414178880818423,0.07791961170708248,0.05851416431687771
nitrogen_monoxide_mass_mixing_ratio__last6_mean,0.08650325,0.09202675020035699,0.0,0.029088343762580262,0.05190458658749602
metar_visibility_mi__max,0.050694562,0.08350303184515599,0.002654818143488329,0.06895872180384721,0.051452783571811586
metar_dew_point_c__cumsum,0.050447218,0.03196847337292011,0.014863001731641163,0.10728790831632533,0.05114165038524618
ethane__last6_mean,0.09998033,0.07848437264353851,0.0,0.02517488438012416,0.05090989724525073
oh__last6_mean,0.06990246,0.10359847711892187,0.0,0.020927517649099947,0.04860711301621753
ethane__park_wmean,0.11338817,0.06821555249577764,0.0,0.011241134946907967,0.048211215181208016
nitrogen_dioxide_mass_mixing_ratio__last6_mean,0.06453817,0.0763892003617945,0.0,0.04931413148975303,0.047560376307265353
c3h8__last6_mean,0.122442834,0.028595611511540425,0.0,0.02709873836275038,0.044534295988389094
metar_relative_humidity__last6_mean,0.07353738,0.06823736337385862,0.004183899893012561,0.019804588030232176,0.04144080770008837
ground_ratio,0.039285395,0.07283299868137925,0.006655229403140766,0.046122068450329026,0.041223922957319234
metar_dew_point_c__max,0.04993315,0.029941091170601033,0.002728498406461862,0.062266899033407735,0.0362174097552807
dust_aerosol_003_055_mixing_ratio__max,0.106455766,0.019953442456081355,0.0,0.018123285904316465,0.03613312350624383
metar_wind_speed_kn__last6_mean,0.07670667,0.02276304582873833,0.0029981984819976585,0.04092963109681236,0.03584938640805374
isoprene__last6_mean,0.050249033,0.0397246894413305,0.0,0.0488519789468904,0.03470642526611021
dust_aerosol_055_09_mixing_ratio__last6_mean,0.050405856,0.027997700216891873,0.0,0.05876010908884735,0.03429091638191338
metar_temperature_c__cumsum,0.07073898,0.03989256961447985,0.007814691745561904,0.01445511601123779,0.03322533901380701
